freq,psd_x,psd_y,psd_z,psd_xyz
0.0,4.131e+01,2.221e+01,3.537e+02,4.172e+02
1.5,1.119e+02,4.774e+01,4.783e+02,6.379e+02
3.1,1.002e+02,4.338e+01,3.577e+02,5.013e+02
4.6,9.210e+01,3.663e+01,6.819e+02,8.107e+02
6.2,1.282e+02,3.321e+01,1.523e+03,1.684e+03
7.7,1.228e+02,3.971e+01,2.290e+03,2.453e+03
9.3,1.233e+02,4.526e+01,3.142e+03,3.311e+03
10.8,1.234e+02,4.315e+01,4.262e+03,4.428e+03
12.4,1.235e+02,4.315e+01,5.504e+03,5.670e+03
13.9,1.157e+02,5.255e+01,6.752e+03,6.921e+03
15.5,1.107e+02,6.745e+01,8.453e+03,8.631e+03
17.0,1.104e+02,6.076e+01,9.775e+03,9.946e+03
18.6,1.206e+02,4.552e+01,1.167e+04,1.183e+04
20.1,1.326e+02,5.088e+01,1.332e+04,1.351e+04
21.7,1.704e+02,9.175e+01,1.549e+04,1.575e+04
23.2,2.435e+02,1.709e+02,1.799e+04,1.841e+04
24.8,2.879e+02,2.524e+02,2.262e+04,2.316e+04
26.3,2.076e+02,1.956e+02,2.372e+04,2.412e+04
27.9,1.482e+02,1.508e+02,2.485e+04,2.515e+04
29.4,1.347e+02,1.553e+02,2.904e+04,2.933e+04
30.9,1.433e+02,1.070e+02,2.892e+04,2.918e+04
32.5,1.367e+02,8.250e+01,3.230e+04,3.252e+04
34.0,1.188e+02,1.135e+02,3.751e+04,3.774e+04
35.6,1.296e+02,1.251e+02,3.538e+04,3.563e+04
37.1,1.728e+02,1.720e+02,5.158e+04,5.192e+04
38.7,2.694e+02,2.189e+02,6.127e+04,6.176e+04
40.2,3.428e+02,2.289e+02,6.340e+04,6.397e+04
41.8,3.971e+02,2.146e+02,6.243e+04,6.305e+04
43.3,5.372e+02,2.802e+02,7.617e+04,7.698e+04
44.9,5.329e+02,3.463e+02,8.794e+04,8.882e+04
46.4,5.446e+02,4.785e+02,1.056e+05,1.066e+05
48.0,6.603e+02,6.131e+02,1.267e+05,1.280e+05
49.5,7.502e+02,7.092e+02,1.351e+05,1.365e+05
51.1,7.764e+02,8.293e+02,1.317e+05,1.334e+05
52.6,7.814e+02,1.540e+03,1.749e+05,1.772e+05
54.2,6.399e+02,2.843e+03,2.386e+05,2.421e+05
55.7,7.463e+02,3.037e+03,2.334e+05,2.372e+05
57.3,1.597e+03,1.826e+03,1.981e+05,2.015e+05
58.8,2.598e+03,7.630e+02,2.071e+05,2.104e+05
60.4,3.529e+03,4.078e+02,2.453e+05,2.492e+05
61.9,4.745e+03,4.325e+02,3.306e+05,3.358e+05
63.4,5.906e+03,6.456e+02,5.031e+05,5.096e+05
65.0,5.807e+03,1.342e+03,6.832e+05,6.903e+05
66.5,4.204e+03,2.909e+03,7.084e+05,7.155e+05
68.1,4.912e+03,4.289e+03,7.813e+05,7.905e+05
69.6,1.788e+04,2.778e+03,5.931e+05,6.138e+05
71.2,3.636e+04,2.492e+03,7.896e+05,8.285e+05
72.7,5.849e+04,6.624e+03,1.005e+06,1.070e+06
74.3,1.020e+05,1.726e+04,1.320e+06,1.439e+06
75.8,1.449e+05,3.344e+04,1.206e+06,1.385e+06
77.4,1.667e+05,5.161e+04,7.677e+05,9.860e+05
78.9,1.526e+05,5.713e+04,5.792e+05,7.889e+05
80.5,8.531e+04,3.617e+04,3.871e+05,5.085e+05
82.0,7.796e+04,3.930e+04,3.531e+05,4.704e+05
83.6,9.197e+04,5.842e+04,2.972e+05,4.476e+05
85.1,7.349e+04,6.211e+04,1.682e+05,3.038e+05
86.7,8.966e+04,9.696e+04,1.819e+05,3.685e+05
88.2,6.261e+04,8.216e+04,1.473e+05,2.921e+05
89.8,3.587e+04,6.175e+04,1.136e+05,2.112e+05
91.3,1.475e+04,3.102e+04,6.376e+04,1.095e+05
92.8,9.198e+03,2.250e+04,5.572e+04,8.742e+04
94.4,8.844e+03,2.009e+04,5.424e+04,8.317e+04
95.9,6.904e+03,1.678e+04,4.903e+04,7.271e+04
97.5,4.981e+03,1.463e+04,5.434e+04,7.395e+04
99.0,8.030e+03,2.355e+04,9.055e+04,1.221e+05
100.6,9.412e+03,4.272e+04,1.675e+05,2.196e+05
102.1,5.125e+03,3.733e+04,1.550e+05,1.975e+05
103.7,2.524e+03,3.409e+04,1.516e+05,1.882e+05
105.2,1.524e+03,2.998e+04,1.385e+05,1.700e+05
106.8,8.745e+02,1.635e+04,7.806e+04,9.529e+04
108.3,8.878e+02,1.806e+04,8.907e+04,1.080e+05
109.9,7.185e+02,1.202e+04,5.991e+04,7.265e+04
111.4,6.714e+02,8.615e+03,4.164e+04,5.093e+04
113.0,6.553e+02,6.779e+03,3.553e+04,4.296e+04
114.5,5.852e+02,5.486e+03,2.955e+04,3.562e+04
116.1,5.922e+02,5.627e+03,2.900e+04,3.522e+04
117.6,5.800e+02,4.411e+03,2.311e+04,2.810e+04
119.2,7.113e+02,5.043e+03,2.790e+04,3.365e+04
120.7,7.821e+02,5.382e+03,3.115e+04,3.732e+04
122.3,1.023e+03,5.339e+03,3.138e+04,3.774e+04
123.8,1.012e+03,3.857e+03,2.327e+04,2.814e+04
125.3,1.470e+03,4.920e+03,3.140e+04,3.779e+04
126.9,2.039e+03,4.860e+03,3.310e+04,4.000e+04
128.4,2.380e+03,4.787e+03,3.663e+04,4.380e+04
130.0,3.315e+03,3.987e+03,3.579e+04,4.309e+04
131.5,4.275e+03,3.759e+03,4.073e+04,4.877e+04
133.1,3.412e+03,2.150e+03,2.190e+04,2.747e+04
134.6,1.875e+03,8.626e+02,5.820e+03,8.558e+03
136.2,2.194e+03,7.768e+02,4.719e+03,7.690e+03
137.7,1.503e+03,6.570e+02,4.051e+03,6.211e+03
139.3,1.048e+03,5.213e+02,2.931e+03,4.501e+03
140.8,1.105e+03,6.698e+02,3.814e+03,5.589e+03
142.4,1.589e+03,1.100e+03,4.421e+03,7.109e+03
143.9,1.904e+03,1.759e+03,6.845e+03,1.051e+04
145.5,1.751e+03,2.145e+03,6.671e+03,1.057e+04
147.0,3.835e+03,4.866e+03,5.920e+03,1.462e+04
148.6,6.337e+03,8.407e+03,7.195e+03,2.194e+04
150.1,6.561e+03,7.523e+03,7.542e+03,2.163e+04
151.7,8.420e+03,8.585e+03,8.725e+03,2.573e+04
153.2,6.055e+03,6.230e+03,7.844e+03,2.013e+04
154.7,4.558e+03,5.119e+03,5.141e+03,1.482e+04
156.3,5.585e+03,7.725e+03,7.343e+03,2.065e+04
157.8,4.901e+03,9.629e+03,6.938e+03,2.147e+04
159.4,3.891e+03,9.949e+03,5.867e+03,1.971e+04
160.9,2.417e+03,5.773e+03,3.910e+03,1.210e+04
162.5,2.663e+03,4.546e+03,6.250e+03,1.346e+04
164.0,2.895e+03,3.931e+03,6.268e+03,1.309e+04
165.6,2.882e+03,3.310e+03,6.152e+03,1.234e+04
167.1,3.300e+03,3.303e+03,5.624e+03,1.223e+04
168.7,3.195e+03,2.843e+03,4.852e+03,1.089e+04
170.2,2.418e+03,2.036e+03,4.505e+03,8.959e+03
171.8,3.266e+03,2.162e+03,4.594e+03,1.002e+04
173.3,2.950e+03,1.931e+03,4.816e+03,9.697e+03
174.9,3.258e+03,2.247e+03,5.481e+03,1.099e+04
