freq,psd_x,psd_y,psd_z,psd_xyz
0.0,9.391e+00,1.532e+01,4.036e+00,2.874e+01
1.5,1.792e+01,2.425e+01,1.871e+01,6.088e+01
3.1,1.692e+01,2.013e+01,2.427e+01,6.133e+01
4.6,1.829e+01,1.949e+01,2.297e+01,6.075e+01
6.2,1.825e+01,2.043e+01,2.483e+01,6.351e+01
7.7,1.795e+01,2.097e+01,2.265e+01,6.157e+01
9.3,1.737e+01,2.830e+01,2.132e+01,6.698e+01
10.8,1.877e+01,4.805e+01,2.259e+01,8.941e+01
12.4,2.161e+01,6.771e+01,4.191e+01,1.312e+02
13.9,2.993e+01,1.650e+02,1.185e+02,3.134e+02
15.5,4.160e+01,4.040e+02,2.701e+02,7.157e+02
17.0,4.476e+01,3.891e+02,2.634e+02,6.972e+02
18.6,9.660e+01,5.874e+02,1.858e+02,8.698e+02
20.1,2.066e+02,1.236e+03,3.392e+02,1.782e+03
21.7,3.595e+02,1.512e+03,4.318e+02,2.303e+03
23.2,9.500e+02,3.017e+03,4.769e+02,4.444e+03
24.8,1.382e+03,3.598e+03,2.432e+02,5.223e+03
26.3,1.459e+03,3.116e+03,1.468e+02,4.723e+03
27.9,1.243e+03,3.999e+03,2.442e+02,5.486e+03
29.4,1.555e+03,8.966e+03,1.501e+02,1.067e+04
31.0,3.129e+03,1.477e+04,1.365e+02,1.804e+04
32.5,4.942e+03,1.882e+04,2.878e+02,2.405e+04
34.1,6.304e+03,2.307e+04,5.419e+02,2.992e+04
35.6,3.500e+03,1.724e+04,4.783e+02,2.122e+04
37.2,1.756e+03,1.019e+04,2.825e+02,1.223e+04
38.7,3.211e+03,5.143e+03,1.618e+02,8.516e+03
40.2,5.368e+03,2.266e+03,7.885e+01,7.713e+03
41.8,6.646e+03,1.411e+03,5.059e+01,8.108e+03
43.3,5.735e+03,9.508e+02,5.193e+01,6.738e+03
44.9,3.377e+03,6.285e+02,4.739e+01,4.053e+03
46.4,1.957e+03,5.345e+02,3.500e+01,2.526e+03
48.0,1.536e+03,5.590e+02,3.596e+01,2.131e+03
49.5,1.442e+03,6.358e+02,4.169e+01,2.120e+03
51.1,1.790e+03,7.474e+02,3.804e+01,2.575e+03
52.6,2.658e+03,8.516e+02,5.024e+01,3.560e+03
54.2,2.656e+03,6.657e+02,7.902e+01,3.401e+03
55.7,2.730e+03,5.542e+02,1.140e+02,3.398e+03
57.3,2.777e+03,4.551e+02,1.386e+02,3.370e+03
58.8,3.059e+03,3.212e+02,1.380e+02,3.518e+03
60.4,2.814e+03,1.793e+02,1.071e+02,3.101e+03
61.9,2.779e+03,1.237e+02,1.042e+02,3.007e+03
63.5,2.204e+03,7.631e+01,8.813e+01,2.368e+03
65.0,2.535e+03,2.006e+02,1.148e+02,2.850e+03
66.6,3.895e+03,4.656e+02,1.340e+02,4.495e+03
68.1,4.275e+03,4.023e+02,9.530e+01,4.772e+03
69.7,5.345e+03,3.262e+02,8.485e+01,5.756e+03
71.2,5.860e+03,2.815e+02,5.443e+01,6.196e+03
72.8,6.474e+03,3.122e+02,5.202e+01,6.838e+03
74.3,1.113e+04,7.436e+02,6.581e+01,1.194e+04
75.8,1.679e+04,1.638e+03,1.124e+02,1.854e+04
77.4,2.132e+04,3.133e+03,1.722e+02,2.462e+04
78.9,1.768e+04,3.628e+03,1.712e+02,2.148e+04
80.5,1.020e+04,3.285e+03,1.369e+02,1.362e+04
82.0,5.541e+03,2.741e+03,1.116e+02,8.394e+03
83.6,3.663e+03,2.872e+03,1.077e+02,6.642e+03
85.1,4.267e+03,4.714e+03,1.525e+02,9.133e+03
86.7,5.446e+03,7.480e+03,1.965e+02,1.312e+04
88.2,7.936e+03,1.232e+04,2.784e+02,2.054e+04
89.8,5.617e+03,7.473e+03,2.346e+02,1.332e+04
91.3,2.513e+03,2.017e+03,1.881e+02,4.718e+03
92.9,1.699e+03,8.284e+02,1.662e+02,2.693e+03
94.4,1.439e+03,1.047e+03,1.341e+02,2.620e+03
96.0,1.027e+03,1.269e+03,1.299e+02,2.426e+03
97.5,1.092e+03,2.373e+03,2.355e+02,3.700e+03
99.1,1.843e+03,4.319e+03,2.463e+02,6.409e+03
100.6,1.631e+03,5.728e+03,1.400e+02,7.499e+03
102.2,8.343e+02,4.771e+03,1.075e+02,5.713e+03
103.7,5.409e+02,3.313e+03,8.377e+01,3.938e+03
105.3,4.838e+02,1.784e+03,6.271e+01,2.330e+03
106.8,3.850e+02,5.655e+02,3.919e+01,9.897e+02
108.4,3.608e+02,2.532e+02,3.057e+01,6.445e+02
109.9,3.313e+02,2.449e+02,2.722e+01,6.034e+02
111.5,3.019e+02,3.808e+02,2.472e+01,7.074e+02
113.0,2.436e+02,4.772e+02,2.399e+01,7.448e+02
114.5,2.153e+02,5.942e+02,2.365e+01,8.331e+02
116.1,1.918e+02,6.560e+02,2.419e+01,8.720e+02
117.6,1.904e+02,7.877e+02,2.680e+01,1.005e+03
119.2,1.810e+02,8.663e+02,4.021e+01,1.088e+03
120.7,2.065e+02,1.016e+03,5.267e+01,1.275e+03
122.3,2.385e+02,1.118e+03,6.605e+01,1.423e+03
123.8,2.538e+02,1.077e+03,7.509e+01,1.406e+03
125.4,2.913e+02,1.120e+03,8.641e+01,1.498e+03
126.9,3.288e+02,1.148e+03,1.127e+02,1.589e+03
128.5,4.264e+02,1.314e+03,1.417e+02,1.882e+03
130.0,4.117e+02,1.134e+03,1.513e+02,1.697e+03
131.6,3.029e+02,7.480e+02,1.174e+02,1.168e+03
133.1,1.484e+02,3.473e+02,6.043e+01,5.561e+02
134.7,5.210e+01,1.180e+02,3.775e+01,2.078e+02
136.2,2.539e+01,4.802e+01,3.358e+01,1.070e+02
137.8,2.381e+01,3.934e+01,3.421e+01,9.735e+01
139.3,2.129e+01,3.818e+01,3.400e+01,9.346e+01
140.9,2.079e+01,3.397e+01,3.377e+01,8.852e+01
142.4,2.277e+01,3.598e+01,3.311e+01,9.186e+01
144.0,1.899e+01,3.536e+01,3.437e+01,8.871e+01
145.5,2.022e+01,4.211e+01,3.469e+01,9.702e+01
147.1,1.971e+01,5.310e+01,3.936e+01,1.122e+02
148.6,2.058e+01,4.227e+01,4.393e+01,1.068e+02
150.2,2.383e+01,3.938e+01,6.258e+01,1.258e+02
151.7,2.590e+01,4.338e+01,8.474e+01,1.540e+02
153.2,2.730e+01,4.458e+01,1.168e+02,1.887e+02
154.8,3.299e+01,6.467e+01,1.567e+02,2.543e+02
156.3,3.257e+01,5.926e+01,1.607e+02,2.525e+02
157.9,4.326e+01,7.516e+01,1.855e+02,3.039e+02
159.4,5.234e+01,1.023e+02,2.212e+02,3.758e+02
161.0,5.527e+01,1.125e+02,2.653e+02,4.330e+02
162.5,6.472e+01,1.256e+02,3.019e+02,4.923e+02
164.1,7.144e+01,1.571e+02,3.129e+02,5.414e+02
165.6,6.825e+01,1.564e+02,2.786e+02,5.032e+02
167.2,7.170e+01,1.842e+02,4.045e+02,6.604e+02
168.7,4.629e+01,1.348e+02,3.293e+02,5.104e+02
170.3,2.598e+01,7.949e+01,1.676e+02,2.731e+02
171.8,3.212e+01,1.058e+02,1.829e+02,3.208e+02
173.4,3.933e+01,1.257e+02,2.776e+02,4.426e+02
174.9,4.172e+01,1.359e+02,4.452e+02,6.227e+02
176.5,3.827e+01,1.303e+02,5.819e+02,7.505e+02
178.0,2.765e+01,9.615e+01,4.807e+02,6.045e+02
179.6,2.686e+01,1.283e+02,7.619e+02,9.170e+02
181.1,2.412e+01,1.304e+02,6.617e+02,8.162e+02
182.7,2.370e+01,1.271e+02,6.156e+02,7.664e+02
184.2,2.246e+01,1.582e+02,7.764e+02,9.571e+02
185.8,2.191e+01,1.653e+02,7.560e+02,9.432e+02
187.3,2.307e+01,1.769e+02,7.230e+02,9.229e+02
188.8,2.289e+01,1.968e+02,6.579e+02,8.776e+02
190.4,2.239e+01,2.115e+02,6.056e+02,8.394e+02
191.9,2.271e+01,2.161e+02,5.662e+02,8.050e+02
193.5,2.514e+01,2.545e+02,4.844e+02,7.641e+02
195.0,3.049e+01,3.620e+02,5.227e+02,9.152e+02
196.6,2.594e+01,3.801e+02,6.261e+02,1.032e+03
198.1,2.543e+01,3.937e+02,7.110e+02,1.130e+03
199.7,2.814e+01,3.664e+02,7.265e+02,1.121e+03
