freq,z,temp
5164475.91782,5.00000,18.549
5164491.11700,5.00000,18.544
5164446.62215,5.00000,18.549
5164439.57386,5.00000,18.552
5164436.04971,5.00000,18.557
5164455.98372,5.00000,18.549
5164465.95075,5.00000,18.549
5164412.34291,5.00000,18.547
5164422.43421,5.00000,18.522
5164412.28068,5.00000,18.517
5164407.20391,5.00000,18.517
5164404.66552,5.00000,18.536
5164418.59550,5.00000,18.525
5164425.56051,5.00000,18.528
5164450.73911,5.00000,18.533
5164441.63235,5.00000,18.517
5164421.87977,5.00000,18.517
5164427.20265,5.00000,18.509
5164429.86409,5.00000,18.503
5164452.89091,5.00000,18.506
5164479.60352,5.00000,18.498
5164440.86540,5.00000,18.509
5164458.39157,5.00000,18.503
5164467.15467,5.00000,18.501
5164471.53624,5.00000,18.514
5164452.03093,5.00000,18.525
5164427.07907,5.00000,18.520
5164429.80230,5.00000,18.520
5164415.96474,5.00000,18.528
5164424.24513,5.00000,18.538
5164450.08142,5.00000,18.536
5164426.10432,5.00000,18.544
5164414.11574,5.00000,18.538
5164423.32063,5.00000,18.536
5164412.72389,5.00000,18.536
5164444.32079,5.00000,18.536
5164438.42318,5.00000,18.536
5164435.47437,5.00000,18.530
5164433.99996,5.00000,18.533
5164418.06357,5.00000,18.530
5164446.99064,5.00000,18.533
5164461.45420,5.00000,18.520
5164431.79072,5.00000,18.530
5164432.15813,5.00000,18.538
5164417.14266,5.00000,18.522
5164409.63490,5.00000,18.517
5164421.08020,5.00000,18.517
5164448.49895,5.00000,18.509
5164440.51227,5.00000,18.509
5164436.51892,5.00000,18.514
5164419.32305,5.00000,18.495
5164425.92429,5.00000,18.495
5164450.92100,5.00000,18.501
5164463.41938,5.00000,18.503
5164432.77331,5.00000,18.506
5164417.45025,5.00000,18.511
5164424.98788,5.00000,18.520
5164413.55752,5.00000,18.528
5164444.73761,5.00000,18.511
5164438.63159,5.00000,18.501
5164420.37939,5.00000,18.517
5164426.45246,5.00000,18.509
5164429.48900,5.00000,18.517
5164452.70336,5.00000,18.517
5164464.31056,5.00000,18.525
5164448.41809,5.00000,18.517
5164425.27265,5.00000,18.538
