#time,accel_x,accel_y,accel_z
1097.691687,-536.124088,-842.480710,10722.481770
1097.691990,-842.480710,-842.480710,10875.660081
1097.692292,1072.248177,-229.767466,10492.714303
1097.692595,4518.760174,-382.945777,10262.946837
1097.692912,8041.861327,-76.589155,9803.411904
1097.693206,12943.567279,-76.589155,9420.466126
1097.693501,17538.916609,-0.000000,8960.931193
1097.693795,20066.358741,306.356622,8960.931193
1097.694090,22746.979183,153.178311,8501.396260
1097.694384,21138.606918,919.069866,9420.466126
1097.694679,20525.893674,1991.318043,8960.931193
1097.694974,18611.164786,1378.604799,9114.109504
1097.695297,15164.652789,1531.783110,10109.768526
1097.695593,14398.761234,306.356622,9803.411904
1097.695889,14168.993767,-0.000000,10952.249236
1097.696184,19300.467186,-76.589155,10569.303459
1097.696480,26040.312870,1072.248177,9267.287815
1097.696776,26576.436958,-382.945777,8577.985416
1097.697072,24202.173138,-2527.442131,10109.768526
1097.697368,16926.203365,-4518.760174,15394.420255
1097.697654,14398.761234,-3140.155375,14398.761234
1097.697956,12330.854035,-229.767466,12713.799813
1097.698259,7429.148083,-0.000000,12790.388968
1097.698562,306.356622,-1455.193954,13939.226301
1097.698865,-4288.992708,-1455.193954,18457.986475
1097.699167,-4135.814397,459.534933,17615.505765
1097.699470,-76.589155,4748.527641,13249.923901
1097.699773,2833.798753,8041.861327,10569.303459
1097.700080,3140.155375,6510.078217,9267.287815
1097.700377,5208.062574,1991.318043,8884.342038
1097.700674,8348.217949,-1302.015643,7888.683016
1097.700972,15164.652789,-7658.915550,5820.775818
1097.701269,22593.800872,-9726.822748,5208.062574
1097.701566,28644.344157,-9497.055282,5208.062574
1097.701863,30329.305578,-5208.062574,4595.349330
1097.702161,23666.049049,-1914.728887,6969.613150
1097.702457,9267.287815,-842.480710,11641.551636
1097.702757,-6663.256528,-995.659021,15394.420255
1097.703058,-23283.103272,1531.783110,16390.079277
1097.703358,-32780.158554,3676.279464,13632.869679
1097.703658,-37835.042817,1225.426488,14015.815456
1097.703959,-33316.282642,-1455.193954,14475.350389
1097.704259,-16466.668432,-3140.155375,10416.125148
1097.704559,3599.690308,-2067.907198,8195.039638
1097.704854,22593.800872,-1455.193954,6356.899906
1097.705155,34158.763353,-382.945777,5361.240885
1097.705456,37988.221128,3676.279464,6127.132440
1097.705757,33546.050109,4442.171019,8960.931193
1097.706058,20985.428607,3982.636086,10875.660081
1097.706359,2833.798753,-0.000000,11871.319102
1097.706660,-17309.149143,-5054.884263,13556.280523
1097.706960,-34694.887441,-12177.675724,16313.490121
1097.707261,-43426.051168,-17615.505765,17155.970832
1097.707560,-36915.972951,-20449.304518,15394.420255
1097.707859,-19070.699719,-15011.474478,11641.551636
1097.708158,2680.620442,-4518.760174,7122.791461
1097.708457,21291.785229,5591.008351,4748.527641
1097.708756,34924.654908,14475.350389,5208.062574
1097.709055,41281.554814,21598.141851,5208.062574
1097.709354,35920.313929,22670.390028,5667.597507
1097.709668,17998.451542,17385.738298,8195.039638
1097.709965,-2757.209598,6050.543284,11794.729947
1097.710261,-23819.227360,-7046.202306,13709.458834
1097.710558,-36915.972951,-18687.753942,16543.257588
1097.710855,-40056.128326,-28031.630913,15930.544344
1097.711152,-30405.894733,-29027.289934,13403.102212
1097.711448,-11947.908258,-19300.467186,10799.070925
1097.711745,10875.660081,-4901.705952,5973.954129
1097.712052,29257.057401,10262.946837,5361.240885
1097.712353,37298.918728,20525.893674,5514.419196
1097.712653,34618.298286,27955.041757,5514.419196
1097.712954,23895.816516,30482.483889,6663.256528
1097.713254,5667.597507,22517.211717,8960.931193
1097.713555,-13632.869679,8041.861327,12943.567279
1097.713855,-26116.902025,-4518.760174,16236.900966
1097.714156,-26346.669492,-12637.210657,15317.831100
1097.714452,-20602.482829,-17615.505765,12790.388968
1097.714750,-11564.962480,-18228.219009,11335.195014
1097.715048,-995.659021,-12024.497413,11028.838392
1097.715346,8348.217949,-6280.310751,12790.388968
1097.715645,12484.032346,-382.945777,13249.923901
1097.715943,15317.831100,7275.969772,10722.481770
1097.716241,14551.939545,10262.946837,7429.148083
1097.716539,8501.396260,7429.148083,7582.326394
1097.716853,1072.248177,2297.674665,10875.660081
1097.717152,-4595.349330,-1761.550576,11488.373325
1097.717451,-7658.915550,-2221.085509,10262.946837
1097.717749,-9497.055282,-2833.798753,10569.303459
